#,xzqmc,date,sfyd_zs,sfyd_mj,gkczyd_zs,gkczyd_mj,zzyd_zs,zzyd_mj,ggglyggfwyd_zs,ggglyggfwyd_mj,tsyd_zs,tsyd_mj,jtysyd_zs,jtysyd_mj,syjslssyd_zs,syjslssyd_mj,qttd_zs,qttd_mj
117,广东省,2016-09-01,72,126.7400,176,663.5200,469,395.7900,130,459.2200,9,17.7400,95,2753.6900,0,0.0000,0,0.0000
118,广东省,2016-10-01,65,329.5500,122,518.8600,281,476.9100,117,2386.1400,4,3.4700,65,1701.9300,3,19.5200,2,1.6400
119,广东省,2016-11-01,121,290.2600,288,1062.2000,413,968.4900,204,1085.5000,1,5.6400,223,2594.7600,4,735.7000,3,0.2400
120,广东省,2016-12-01,98,262.8200,262,1382.0500,520,1302.4100,452,2929.3800,58,466.4900,430,6778.3600,23,2161.9100,1,1.7500
121,广西壮族自治区,2015-01-01,179,98.8216,51,170.4496,281,107.2135,48,152.9688,2,1.5271,19,38.4629,4,11.4700,0,0.0000
122,黑龙江省,2015-01-01,80,100.8330,144,423.1734,67,124.3844,88,85.7120,5,17.8579,30,652.2245,0,0.0000,0,0.0000
123,广西壮族自治区,2015-02-01,50,103.1876,51,187.2103,205,157.7623,26,238.0780,0,0.0000,9,231.2966,0,0.0000,0,0.0000
124,广西壮族自治区,2015-03-01,40,53.3113,83,291.4443,254,337.8749,75,1582.7013,4,14.7363,61,358.1357,2,17.4964,0,0.0000
125,广西壮族自治区,2015-04-01,54,197.3044,67,221.0723,294,261.4654,94,65.9289,3,56.1111,12,97.7395,1,0.4002,0,0.0000
126,广西壮族自治区,2015-05-01,120,100.5904,81,221.8572,296,232.8604,50,110.1776,2,2.1011,15,913.5895,1,17.4964,0,0.0000
127,广西壮族自治区,2015-06-01,44,171.6017,85,324.9895,347,239.2608,179,1316.9395,3,2.7863,143,1180.3889,3,43.4575,0,0.0000
128,广西壮族自治区,2015-07-01,68,107.9900,50,136.6272,322,302.7869,66,195.1535,2,1.2359,27,276.4709,1,0.4215,2,18.5909
129,广西壮族自治区,2015-08-01,72,101.2700,100,397.7960,288,161.4486,52,148.1655,2,2.3871,18,121.9411,0,0.0000,0,0.0000
130,广西壮族自治区,2015-09-01,64,133.6892,112,472.6945,322,457.1316,100,498.2343,2,3.5711,61,692.0873,8,94.8867,0,0.0000
131,广西壮族自治区,2015-10-01,83,45.4500,75,309.6974,554,180.9606,53,209.3988,4,9.6164,69,691.7576,1,11.8083,0,0.0000
132,广西壮族自治区,2015-11-01,120,240.7090,187,809.3334,388,392.2656,139,730.1631,5,5.9596,144,3381.2302,11,57.3657,2,14.0436
133,广西壮族自治区,2015-12-01,181,131.0223,107,555.6100,473,620.1251,247,932.9917,15,37.1349,487,3231.6595,21,457.5409,0,0.0000
134,广西壮族自治区,2016-01-01,41,62.4100,44,224.2600,246,206.0100,40,566.8000,2,3.2500,46,75.0700,0,0.0000,0,0.0000
135,广西壮族自治区,2016-02-01,29,55.9100,35,128.9500,316,82.4000,24,63.8500,0,0.0000,12,183.4200,0,0.0000,0,0.0000
136,广西壮族自治区,2016-03-01,34,70.0400,54,262.6200,245,271.8600,71,78.9700,3,6.8800,24,39.9200,1,0.1500,0,0.0000
137,广西壮族自治区,2016-04-01,46,133.1900,49,159.7500,186,142.9900,75,109.9000,3,18.6700,13,218.6400,0,0.0000,0,0.0000
