#,pxzqmc,sxzqmc,date,sfyd_zs,sfyd_mj,gkczyd_zs,gkczyd_mj,zzyd_zs,zzyd_mj,ggglyggfwyd_zs,ggglyggfwyd_mj,tsyd_zs,tsyd_mj,jtysyd_zs,jtysyd_mj,syjslssyd_zs,syjslssyd_mj,qttd_zs,qttd_mj
71,安徽省,亳州市,2016-11-01,6,17.0400,50,202.0400,18,93.1200,9,30.0400,0,0.0000,3,11.6000,0,0.0000,0,0.0000
72,安徽省,亳州市,2016-12-01,6,17.0400,50,202.0400,18,93.1200,9,30.0400,0,0.0000,3,11.6000,0,0.0000,0,0.0000
73,安徽省,巢湖市(撤),2015-01-01,7,9.2900,29,27.8100,36,91.7400,5,2.6700,0,0.0000,1,12.9200,0,0.0000,0,0.0000
74,安徽省,巢湖市(撤),2015-02-01,4,1.2000,5,4.5600,5,7.7200,4,0.5600,0,0.0000,8,12.0300,0,0.0000,0,0.0000
75,安徽省,巢湖市(撤),2015-03-01,2,2.3800,7,8.8400,8,41.0000,16,43.0100,0,0.0000,3,7.1400,0,0.0000,2,0.2500
76,安徽省,巢湖市(撤),2015-04-01,2,1.3300,21,16.4600,20,22.7900,5,3.6000,0,0.0000,6,111.3200,0,0.0000,0,0.0000
77,安徽省,巢湖市(撤),2015-05-01,1,0.1700,15,14.0000,15,35.7700,17,15.5900,0,0.0000,12,125.1200,1,57.6300,5,0.7500
78,安徽省,巢湖市(撤),2015-06-01,4,0.8400,6,7.7900,11,6.7000,7,24.6500,0,0.0000,4,13.5900,0,0.0000,0,0.0000
79,安徽省,巢湖市(撤),2015-07-01,4,10.6100,29,57.1500,11,23.9500,6,10.1700,0,0.0000,3,173.7500,0,0.0000,0,0.0000
80,安徽省,巢湖市(撤),2015-08-01,1,1.2200,9,30.2900,9,20.8900,12,52.7500,0,0.0000,16,42.0500,0,0.0000,0,0.0000
81,安徽省,巢湖市(撤),2015-09-01,5,2.5000,20,60.6100,27,64.9100,35,34.0100,1,1.3300,8,225.5900,2,71.9500,0,0.0000
82,安徽省,巢湖市(撤),2015-10-01,6,8.3600,21,108.0500,14,20.5400,5,5.2100,0,0.0000,4,242.6700,0,0.0000,0,0.0000
83,安徽省,巢湖市(撤),2015-11-01,11,18.5100,19,49.2600,34,133.8500,4,5.8100,0,0.0000,14,147.9100,0,0.0000,1,91.3900
84,安徽省,巢湖市(撤),2015-12-01,5,4.9100,24,181.2100,18,79.6800,130,185.4200,2,6.4000,56,113.8600,1,1.7900,3,7.1400
85,安徽省,巢湖市(撤),2016-01-01,4,3.5000,12,44.0100,19,37.5600,9,18.0100,0,0.0000,4,10.1600,0,0.0000,0,0.0000
86,安徽省,巢湖市(撤),2016-02-01,2,5.5100,16,61.6800,5,28.6000,2,7.7700,1,0.8700,1,4.1500,0,0.0000,0,0.0000
87,安徽省,巢湖市(撤),2016-03-01,55,24.7100,7,24.1600,22,83.2500,3,3.0400,0,0.0000,1,7.1700,0,0.0000,0,0.0000
88,安徽省,巢湖市(撤),2016-04-01,8,2.0000,12,38.7200,5,17.9300,4,27.4400,0,0.0000,1,2.5700,0,0.0000,0,0.0000
89,安徽省,巢湖市(撤),2016-05-01,5,18.9400,8,14.9600,19,38.4000,3,3.9800,0,0.0000,0,0.0000,0,0.0000,1,10.2000
90,安徽省,巢湖市(撤),2016-06-01,107,18.7500,31,44.6500,58,50.6300,25,13.5800,0,0.0000,22,50.2100,0,0.0000,0,0.0000
91,安徽省,巢湖市(撤),2016-07-01,5,29.1100,5,10.8000,11,23.3800,30,32036.2400,0,0.0000,40,9.6300,0,0.0000,0,0.0000
92,安徽省,巢湖市(撤),2016-08-01,2,3.8300,13,61.2200,18,11.1400,6,32.9800,1,2.6000,22,183.3000,0,0.0000,0,0.0000
93,安徽省,巢湖市(撤),2016-09-01,1,2.4000,20,271.3200,1,0.2900,3,1.9400,0,0.0000,3,55.5100,0,0.0000,0,0.0000
94,安徽省,巢湖市(撤),2016-10-01,4,3.2400,13,198.6600,15,55.6300,6,9.0300,0,0.0000,16,19.0600,0,0.0000,0,0.0000
95,安徽省,巢湖市(撤),2016-11-01,4,10.2100,38,76.5300,70,185.4900,30,89.2800,1,9.0900,49,152.8700,0,0.0000,0,0.0000
96,安徽省,巢湖市(撤),2016-12-01,4,10.2100,38,76.5300,70,185.4900,30,89.2800,1,9.0900,49,152.8700,0,0.0000,0,0.0000
97,安徽省,池州市,2015-01-01,0,0.0000,4,70.5400,3,1.7200,3,1.6900,0,0.0000,4,15.6600,0,0.0000,0,0.0000
98,安徽省,池州市,2015-02-01,0,0.0000,3,1.9400,4,0.3300,2,3.0700,0,0.0000,0,0.0000,0,0.0000,0,0.0000
99,安徽省,池州市,2015-03-01,0,0.0000,5,1.9500,11,18.7100,13,15.3700,1,0.4000,2,2.2500,0,0.0000,0,0.0000
100,安徽省,池州市,2015-04-01,4,7.5200,6,26.9100,135,19.5400,11,16.5200,0,0.0000,8,1.8200,0,0.0000,0,0.0000
101,安徽省,池州市,2015-05-01,0,0.0000,2,18.4500,8,0.4500,3,12.0500,0,0.0000,0,0.0000,0,0.0000,0,0.0000
102,安徽省,池州市,2015-06-01,8,3.7100,6,32.5900,8,22.7900,8,8.1400,0,0.0000,1,5.0800,0,0.0000,0,0.0000
103,安徽省,池州市,2015-07-01,3,4.0600,17,27.1800,4,6.1200,7,12.6200,0,0.0000,0,0.0000,0,0.0000,0,0.0000
104,安徽省,池州市,2015-08-01,3,4.7300,4,15.3200,5,7.3900,9,9.9500,0,0.0000,4,4.7300,1,4.5800,0,0.0000
105,安徽省,池州市,2015-09-01,9,73.2200,8,9.7700,2,0.8800,6,3.2900,0,0.0000,46,118.4300,0,0.0000,0,0.0000
106,安徽省,池州市,2015-10-01,41,114.6700,11,15.1100,27,100.4100,9,4.5100,0,0.0000,9,65.2400,0,0.0000,0,0.0000
107,安徽省,池州市,2015-11-01,9,19.5600,46,91.5400,34,25.6700,11,7.3400,0,0.0000,12,29.7900,0,0.0000,0,0.0000
108,安徽省,池州市,2015-12-01,3,2.9500,1,2.1400,4,6.0200,10,32.9300,0,0.0000,6,38.9700,1,4.3600,0,0.0000
109,安徽省,池州市,2016-01-01,1,0.0100,7,14.6700,6,6.1100,17,27.1600,0,0.0000,6,15.9100,0,0.0000,0,0.0000
110,安徽省,池州市,2016-02-01,1,0.0100,4,7.1800,9,21.9500,3,5.2500,0,0.0000,1,1.3400,0,0.0000,0,0.0000
111,安徽省,池州市,2016-03-01,1,0.7000,2,3.6700,3,2.2900,8,10.1100,0,0.0000,2,9.9900,0,0.0000,0,0.0000
112,安徽省,池州市,2016-04-01,2,0.8400,32,26.3500,1,4.2000,2,1.0400,0,0.0000,2,6.0400,1,2.8700,0,0.0000
113,安徽省,池州市,2016-05-01,1,0.7700,4,13.5200,6,17.1500,8,117.2700,0,0.0000,1,4.8100,0,0.0000,0,0.0000
114,安徽省,池州市,2016-06-01,0,0.0000,2,16.5600,4,1.7000,4,1.9400,0,0.0000,8,147.0400,2,0.4300,0,0.0000
115,安徽省,池州市,2016-07-01,1,0.0900,4,7.2000,8,5.5200,3,6.8800,0,0.0000,0,0.0000,0,0.0000,0,0.0000
