OBJECTID,BSM,YSDM,TBYBH,TBBH,DLBM,DLMC,QSXZ,QSDWDM,QSDWMC,ZLDWDM,ZLDWMC,TBMJ,KCDLBM,KCXS,KCMJ,TBDLMJ,GDLX,XZDWKD,TBXHDM,TBXHMC,ZZSXDM,ZZSXMC,GDDB,CZCSXM,SJNF,MSSM,GDPDJB,FRDBS,HDMC,BZ,Shape_Leng,Shape_Area,centroid_x,centroid_y,area
158,360726211000048169,2001010100,,16,1107,沟渠,30,3607261002070000000,欣山镇石湾村,3607261002070000000,欣山镇石湾村,146.29,,0.0,0.0,146.29,,2.09999990463,,,,,0,,2019,0,,0,,,144.829996216,146.358661918,38641970.145120375,2779655.2903552605,146.35866191790112
159,360726211000048170,2001010100,,10,08H2,科教文卫用地,20,3607261002120000000,欣山镇碛角村,3607261002120000000,欣山镇碛角村,2905.88,,0.0,0.0,2905.88,,0.0,,,,,0,202.0,2019,0,,0,,,232.352438296,2907.266267,38638859.81372953,2779649.142460941,2907.26626699937
160,360726211000048171,2001010100,,50,0302,竹林地,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,7108.14,,0.0,0.0,7108.14,,0.0,,,,,0,,2019,0,,0,,,399.765821663,7111.93452362,38646996.05991339,2779624.883648784,7111.934523617341
161,360726211000048172,2001010100,,64,0302,竹林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,14226.14,,0.0,0.0,14226.14,,0.0,,,,,0,,2019,0,,0,,,486.155848454,14233.9616,38649207.458047375,2775121.929063086,14233.96159999853
162,360726211000048173,2001010100,,17,08H2,科教文卫用地,30,3607261002070000000,欣山镇石湾村,3607261002070000000,欣山镇石湾村,3009.61,,0.0,0.0,3009.61,,0.0,,,,,0,202.0,2019,0,,0,,,290.619322859,3011.08543775,38640972.1042877,2780082.378875115,3011.0854377535848
163,360726211000048174,2001010100,,11,1004,城镇村道路用地,10,3607261002120000000,欣山镇碛角村,3607261002120000000,欣山镇碛角村,5962.66,,0.0,0.0,5962.66,,38.0,,,,,0,202.0,2019,0,,0,,,487.848980184,5965.51661138,38639372.28072129,2779987.409697573,5965.516611376842
164,360726211000048175,2001010100,,6,1006,农村道路,30,3607261002100000000,欣山镇金石村,3607261002100000000,欣山镇金石村,529.95,,0.0,0.0,529.95,,2.29999995232,,,,,0,,2019,0,,0,,,430.305392866,530.219402805,38643155.51717413,2780268.589926339,530.2194028049098
165,360726211000048176,2001010100,,7,1107,沟渠,10,3607261002100000000,欣山镇金石村,3607261002100000000,欣山镇金石村,277.19,,0.0,0.0,277.19,,1.5,,,,,0,,2019,0,,0,,,283.368336529,277.331544531,38642015.71573067,2780327.6308370205,277.3315445313716
167,360726211000048178,2001010100,,51,1006,农村道路,30,3607261002090000000,欣山镇富田村,3607261002090000000,欣山镇富田村,1843.62,,0.0,0.0,1843.62,,3.0,,,,,0,,2019,0,,0,,,1105.5648566,1844.59066873,38645831.25965108,2780293.0384005974,1844.590668734506
168,360726211000048179,2001010100,,9,0101,水田,30,3607261002100000000,欣山镇金石村,3607261002100000000,欣山镇金石村,1088.73,,0.0,0.0,1088.73,,0.0,,,LS,种植粮食作物,0,,2019,0,1.0,0,,,193.673099414,1089.27964645,38642962.19207829,2780368.84129182,1089.2796464526723
169,360726211000048180,2001010100,,65,0201,果园,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,53251.54,,0.0,0.0,53251.54,,0.0,,,,,0,,2019,0,,0,,,1657.19686102,53280.2355183,38647724.23646192,2775207.0929099163,53280.23551831735
170,360726211000048181,2001010100,,66,09,特殊用地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,1347.06,,0.0,0.0,1347.06,,0.0,,,,,0,205.0,2019,0,,0,,,157.278760981,1347.7691189,38646148.18319831,2775371.3907504617,1347.769118900465
171,360726211000048182,2001010100,,23,0307,其他林地,30,3607261002010000000,欣山镇修田村,3607261002010000000,欣山镇修田村,3700.0,,0.0,0.0,3700.0,,0.0,,,,,0,,2019,0,,0,,,255.606682893,3701.81224405,38640764.45187057,2775367.932863903,3701.812244054606
172,360726211000048183,2001010100,,67,0101,水田,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,4356.84,1203.0,0.1004,437.43,3919.41,TT,0.0,,,LS,种植粮食作物,0,,2019,0,3.0,0,,,317.062555292,4359.1431526,38646275.099954456,2775391.645334194,4359.143152603815
173,360726211000048184,2001010100,,68,0302,竹林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,8115.0,,0.0,0.0,8115.0,,0.0,,,,,0,,2019,0,,0,,,332.216910305,8119.34271983,38647264.34042663,2776023.361482956,8119.342719830113
174,360726211000048185,2001010100,,69,0307,其他林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,13944.15,,0.0,0.0,13944.15,,0.0,,,,,0,,2019,0,,0,,,495.087538291,13951.7201589,38648262.786457255,2775976.2450364283,13951.720158945745
175,360726211000048186,2001010100,,70,0307,其他林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,2392.44,,0.0,0.0,2392.44,,0.0,,,GCHF,工程恢复,0,,2019,0,,0,,,235.890834707,2393.72377218,38647678.5647777,2776039.7336664093,2393.7237721813085
176,360726211000048187,2001010100,,71,0302,竹林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,17289.3,,0.0,0.0,17289.3,,0.0,,,,,0,,2019,0,,0,,,681.993672972,17298.693192,38648352.86271511,2775982.9490715135,17298.693191991842
177,360726211000048188,2001010100,,72,1006,农村道路,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,499.66,,0.0,0.0,499.66,,3.8,,,,,0,,2019,0,,0,,,215.890624976,499.92723867,38647688.88775854,2776054.8275581617,499.92723867004037
178,360726211000048189,2001010100,,73,0302,竹林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,1956.37,,0.0,0.0,1956.37,,0.0,,,,,0,,2019,0,,0,,,167.597536976,1957.44683211,38649346.876334935,2776056.360132183,1957.4468321089948
179,360726211000048190,2001010100,,74,0307,其他林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,9421.62,,0.0,0.0,9421.62,,0.0,,,GCHF,工程恢复,0,,2019,0,,0,,,460.78508969,9426.68483814,38647507.92435848,2776051.015822555,9426.684838139541
180,360726211000048191,2001010100,,24,0404,其他草地,30,3607261002010000000,欣山镇修田村,3607261002010000000,欣山镇修田村,14132.31,,0.0,0.0,14132.31,,0.0,,,,,0,,2019,0,,0,,,658.783880902,14139.2122861,38640613.0543394,2775981.092726631,14139.212286112974
181,360726211000048192,2001010100,,75,0302,竹林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,4264.89,,0.0,0.0,4264.89,,0.0,,,,,0,,2019,0,,0,,,413.81224368,4267.19833892,38647895.66342547,2776061.6761870035,4267.198338919086
182,360726211000048194,2001010100,,76,0302,竹林地,30,3607261002110000000,欣山镇大坝村,3607261002110000000,欣山镇大坝村,2924.44,,0.0,0.0,2924.44,,0.0,,,,,0,,2019,0,,0,,,276.831362047,2926.02513713,38647904.816743396,2776897.1478715613,2926.0251371298127
183,360726211000048195,2001010100,,26,0602,采矿用地,30,3607261002010000000,欣山镇修田村,3607261002010000000,欣山镇修田村,36640.62,,0.0,0.0,36640.62,,0.0,,,,,0,204.0,2019,0,,0,,,925.267298716,36658.4314227,38640301.82509918,2776836.571319106,36658.43142270507
